"","flag","situacao"
"1","ABADIANIA_GOIAS","Ok"
"2","ABAETETUBA_PARA","Ok"
"3","ABAIRA_BAHIA","Ok"
"4","ABARE_BAHIA","Ok"
"5","ABATIA_PR","Ok"
"6","ABDON_BATISTA_SC","Ok"
"7","ABELARDO_LUZ_SC","Ok"
"8","ABEL_FIGUEIREDO_PARA","Ok"
"9","ACAILANDIA_MA","Ok"
"10","ACAJUTIBA_BAHIA_","Ok"
"11","ACARA_PARA","Ok"
"12","ACARAU_CE","Ok"
"13","ACARI_RN","Ok"
"14","ACEGUA_RS","Ok"
"15","ACOPIARA_CE","Ok"
"16","ACORIZAL_MT","Ok"
"17","ACRELANDIA_ACRE","Ok"
"18","ACREUNA_GOIAS","Ok"
"19","ACU_RN","Ok"
"20","ADAMANTINA_SP","Ok"
"21","ADOLFO_SP","Ok"
"22","ADUSTINA_BAHIA_","Ok"
"23","AFOGADOS_DA_INGAZEIRA_PE","Ok"
"24","AFONSO_CLAUDIO_ES","Ok"
"25","AFUA_PARA","Ok"
"26","AGRESTINA_PE","Ok"
"27","AGROLANDIA_SC","Ok"
"28","AGRONOMICA_SC","Ok"
"29","AGUA_AZUL_DO_NORTE_PARA","Ok"
"30","AGUA_BOA_MT","Ok"
"31","AGUA_BRANCA_AL","Ok"
"32","AGUA_BRANCA_PARAIBA","Ok"
"33","AGUA_BRANCA_PIAUI","Ok"
"34","AGUA_CLARA_MS","Ok"
"35","AGUA_DOCE_SC","Ok"
"36","AGUA_FRIA_BAHIA","Ok"
"37","AGUA_FRIA_DE_GOIAS_GOIAS","Ok"
"38","AGUAI_SP","Ok"
"39","AGUA_NOVA_RN","Ok"
"40","AGUA_SANTA_RS","Ok"
"41","AGUAS_DE_PRATA_SP","Ok"
"42","AGUAS_DE_LINDOIA_SP","Ok"
"43","AGUAS_DE_SANTA_BARBARA_SP","Ok"
"44","AGUAS_DE_SAO_PEDRO_SP","Ok"
"45","AGUAS_MORNAS_SC","Ok"
